model_name,mode,camera,fusion_method,threshold_percentile,input_dim,train_count,test_count,test_correct_count,test_anomaly_count,threshold,dropout,weight_decay,best_epoch,best_val_loss,accuracy,precision,recall,f1,auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,flagged_as_anomaly,total_test
small_dropout01,single_camera,C10390,,85,4064,626,839,626,213,0.23301751911640167,0.1,0.0001,150,0.1499891062830664,0.8462455303933254,0.8181818181818182,0.5070422535211268,0.6260869565217392,0.9511167109151181,602,24,105,108,0.038338658146964855,0.49295774647887325,132,839
small_dropout01,single_camera,C10390,,90,4064,626,839,626,213,0.2733945846557617,0.1,0.0001,150,0.1499891062830664,0.8152562574493445,0.8222222222222222,0.3474178403755869,0.4884488448844885,0.9511167109151181,610,16,139,74,0.025559105431309903,0.6525821596244131,90,839
small_dropout01,single_camera,C10404,,70,4064,626,839,626,213,0.1420409232378006,0.1,0.0001,150,0.12633931034120024,0.867699642431466,0.7575757575757576,0.704225352112676,0.7299270072992701,0.9186728464503742,578,48,63,150,0.07667731629392971,0.29577464788732394,198,839
small_dropout01,single_camera,C10404,,75,4064,626,839,626,213,0.1644960194826126,0.1,0.0001,150,0.12633931034120024,0.8522050059594756,0.7664670658682635,0.6009389671361502,0.6736842105263158,0.9186728464503742,587,39,85,128,0.06230031948881789,0.39906103286384975,167,839
small_dropout01,single_camera,C10404,,80,4064,626,839,626,213,0.18683002889156342,0.1,0.0001,150,0.12633931034120024,0.8355184743742551,0.7697841726618705,0.5023474178403756,0.6079545454545454,0.9186728464503742,594,32,106,107,0.051118210862619806,0.49765258215962443,139,839
small_dropout01,single_camera,C10404,,85,4064,626,839,626,213,0.20578046143054962,0.1,0.0001,150,0.12633931034120024,0.8247914183551848,0.7894736842105263,0.4225352112676056,0.5504587155963303,0.9186728464503742,602,24,123,90,0.038338658146964855,0.5774647887323944,114,839
small_dropout01,single_camera,C10404,,90,4064,626,839,626,213,0.23773200809955597,0.1,0.0001,150,0.12633931034120024,0.8152562574493445,0.8222222222222222,0.3474178403755869,0.4884488448844885,0.9186728464503742,610,16,139,74,0.025559105431309903,0.6525821596244131,90,839
small_dropout01,fusion,ALL,mean,70,,,839,626,213,1.0,0.1,0.0001,,,0.8974970202622169,0.777292576419214,0.8356807511737089,0.8054298642533937,0.9549940752073678,575,51,35,178,0.08146964856230032,0.1643192488262911,229,839
small_dropout01,fusion,ALL,max,70,,,839,626,213,1.0,0.1,0.0001,,,0.899880810488677,0.7345454545454545,0.9483568075117371,0.8278688524590164,0.955204067857625,553,73,11,202,0.11661341853035144,0.051643192488262914,275,839
small_dropout01,fusion,ALL,top2_mean,70,,,839,626,213,1.0,0.1,0.0001,,,0.9058402860548271,0.75,0.9436619718309859,0.8357588357588358,0.955444059457919,559,67,12,201,0.10702875399361023,0.056338028169014086,268,839
small_dropout01,fusion,ALL,mean,75,,,839,626,213,1.0,0.1,0.0001,,,0.8974970202622169,0.8038277511961722,0.7887323943661971,0.7962085308056872,0.9551365702200423,585,41,45,168,0.06549520766773163,0.2112676056338028,209,839
small_dropout01,fusion,ALL,max,75,,,839,626,213,1.0,0.1,0.0001,,,0.9034564958283671,0.7558139534883721,0.9154929577464789,0.8280254777070064,0.956209032683856,563,63,18,195,0.10063897763578275,0.08450704225352113,258,839
small_dropout01,fusion,ALL,top2_mean,75,,,839,626,213,1.0,0.1,0.0001,,,0.9082240762812872,0.78099173553719,0.8873239436619719,0.8307692307692308,0.9560215392461264,573,53,24,189,0.08466453674121406,0.11267605633802817,242,839
small_dropout01,fusion,ALL,mean,80,,,839,626,213,1.0,0.1,0.0001,,,0.8855780691299165,0.8268156424581006,0.6948356807511737,0.7551020408163265,0.955279065232717,595,31,65,148,0.04952076677316294,0.3051643192488263,179,839
small_dropout01,fusion,ALL,max,80,,,839,626,213,1.0,0.1,0.0001,,,0.9070321811680572,0.7800829875518672,0.8826291079812206,0.8281938325991189,0.9570940017099402,573,53,25,188,0.08466453674121406,0.11737089201877934,241,839
small_dropout01,fusion,ALL,top2_mean,80,,,839,626,213,1.0,0.1,0.0001,,,0.9046483909415971,0.7903930131004366,0.8497652582159625,0.8190045248868778,0.9565465208717696,578,48,32,181,0.07667731629392971,0.15023474178403756,229,839
small_dropout01,fusion,ALL,mean,85,,,839,626,213,1.0,0.1,0.0001,,,0.8486293206197855,0.8115942028985508,0.5258215962441315,0.6381766381766382,0.9552340668076618,600,26,101,112,0.04153354632587859,0.47417840375586856,138,839
small_dropout01,fusion,ALL,max,85,,,839,626,213,1.0,0.1,0.0001,,,0.9034564958283671,0.7972972972972973,0.8309859154929577,0.8137931034482758,0.9566290179843705,581,45,36,177,0.07188498402555911,0.16901408450704225,222,839
small_dropout01,fusion,ALL,top2_mean,85,,,839,626,213,1.0,0.1,0.0001,,,0.8939213349225268,0.803921568627451,0.7699530516431925,0.7865707434052758,0.9561565345212918,586,40,49,164,0.06389776357827476,0.2300469483568075,204,839
small_dropout01,fusion,ALL,mean,90,,,839,626,213,1.0,0.1,0.0001,,,0.8224076281287247,0.8636363636363636,0.3568075117370892,0.5049833887043189,0.9553165639202628,614,12,137,76,0.019169329073482427,0.6431924882629108,88,839
small_dropout01,fusion,ALL,max,90,,,839,626,213,1.0,0.1,0.0001,,,0.8843861740166865,0.8186813186813187,0.6995305164319249,0.7544303797468355,0.9569440069597565,593,33,64,149,0.052715654952076675,0.3004694835680751,182,839
small_dropout01,fusion,ALL,top2_mean,90,,,839,626,213,1.0,0.1,0.0001,,,0.8641239570917759,0.8193548387096774,0.596244131455399,0.6902173913043478,0.9561790337338193,598,28,86,127,0.04472843450479233,0.40375586854460094,155,839
small_no_dropout,single_camera,C10095,,70,4064,626,839,626,213,0.17282357811927795,0.0,0.0001,145,0.150123482012445,0.9117997616209773,0.7982832618025751,0.8732394366197183,0.8340807174887892,0.9637987670431535,579,47,27,186,0.07507987220447285,0.1267605633802817,233,839
small_no_dropout,single_camera,C10095,,75,4064,626,839,626,213,0.18765540421009064,0.0,0.0001,145,0.150123482012445,0.9094159713945172,0.8186046511627907,0.8262910798122066,0.822429906542056,0.9637987670431535,587,39,37,176,0.06230031948881789,0.17370892018779344,215,839
